Country,GDP,LifeExpectancy,Population,GDPCapita
Afghanistan,20506795254,60.50912195,29824536,687.5813677
Algeria,2.04331E+11,70.88217073,38481705,5309.822369
Argentina,6.03153E+11,76.01268293,41086927,14679.92524
Australia,1.53241E+12,82.09512195,22723900,67435.95443
Austria,3.94458E+11,80.93658537,8429991,46792.16569
"Bahamas, The",8149004000,74.91446341,371960,21908.28046
Bangladesh,1.16034E+11,70.29485366,154695368,750.0799564
Barbados,4224850000,75.13202439,283221,14917.14951
Belgium,4.82918E+11,80.38536585,11128246,43395.69898
Belize,1572500000,73.69914634,324060,4852.496451
Benin,7543183759,59.1194878,10050702,750.5131242
Bolivia,27035110130,66.92663415,10496285,2575.683695
Botswana,14537490553,46.99070732,2003910,7254.562607
Brazil,2.24878E+12,73.61787805,198656019,11319.97371
Burkina Faso,10726305450,55.86202439,16460141,651.6533151
Burundi,2472384813,53.6287561,9849569,251.0145178
Cambodia,14054443213,71.40882927,14864646,945.4946464
Cameroon,26472637887,54.5875122,21699631,1219.957975
Canada,1.82145E+12,81.23804878,34754312,52409.19313
Central African Republic,2169706411,49.47539024,4525209,479.4709839
Chad,12887072082,50.70058537,12448175,1035.257946
Chile,2.66259E+11,79.57265854,17464814,15245.468
China,8.22949E+12,75.1995122,1350695000,6092.781886
Colombia,3.70328E+11,73.77707317,47704427,7762.970829
"Congo, Dem. Rep.",27452795398,49.62326829,65705093,417.8183782
"Congo, Rep.",13677929162,58.29656098,4337051,3153.739525
Costa Rica,45374788701,79.70502439,4805295,9442.66454
Cote d'Ivoire,24680372724,50.40173171,19839750,1243.986075
Denmark,3.15164E+11,80.05121951,5591572,56364.18286
Dominican Republic,58920504571,73.23297561,10276621,5733.451158
Ecuador,84039856000,76.19256098,15492264,5424.633611
"Egypt, Arab Rep.",2.62832E+11,70.9072439,80721874,3256.018469
El Salvador,23813600000,72.10453659,6297394,3781.500729
Equatorial Guinea,16486743747,52.61290244,736296,22391.46179
Fiji,4035420973,69.74473171,874742,4613.269939
Finland,2.47143E+11,80.62682927,5413971,45649.16159
France,2.61122E+12,82.56585366,65676758,39758.68165
Gabon,17843815459,63.07392683,1632572,10929.87964
"Gambia, The",914109100.3,58.60707317,1791225,510.3262294
Germany,3.42596E+12,80.89268293,80425823,42597.71729
Ghana,41740897827,60.94712195,25366462,1645.515162
Greece,2.48424E+11,80.63414634,11092771,22395.14973
Guatemala,50388454861,71.66385366,15082831,3340.782301
Guinea-Bissau,822320637.8,54.03363415,1663558,494.3143778
Guyana,2851154076,66.04626829,795369,3584.693489
Honduras,18564264545,73.49343902,7935846,2339.292439
"Hong Kong SAR, China",2.6263E+11,83.4804878,7154600,36707.86433
Hungary,1.246E+11,75.06341463,9920362,12560.07461
Iceland,13586213061,82.91707317,320716,42362.13055
India,1.85874E+12,66.21085366,1236686732,1503.003703
Indonesia,8.76719E+11,70.6072439,246864191,3551.423737
"Iran, Islamic Rep.",5.02729E+11,73.76273171,76424443,6578.121526
Ireland,2.10638E+11,80.89512195,4586897,45921.69392
Israel,2.57622E+11,81.70487805,7910500,32567.08894
Italy,2.01327E+12,82.93658537,59539717,33813.82221
Jamaica,14794802081,73.2824878,2707805,5463.762007
Japan,5.93777E+12,83.09609756,127561489,46548.26964
Jordan,31015239496,73.74739024,6318000,4909.028094
Kenya,40264403585,61.08317073,43178141,932.5182292
"Korea, Rep.",1.22281E+12,81.36829268,50004441,24453.97135
Kuwait,1.83219E+11,74.359,3250496,56366.57008
Lesotho,2328196275,48.836,2051545,1134.85021
Liberia,1733828405,60.20639024,4190435,413.7585727
Luxembourg,55143457330,81.39268293,530946,103858.8808
Madagascar,9880703883,64.24863415,22293914,443.2018479
Malawi,4240492849,54.72378049,15906483,266.5889656
Malaysia,3.05033E+11,74.84229268,29239927,10432.06247
Mali,10340794110,54.60392683,14853572,696.1823129
Malta,8740973918,80.74634146,419455,20838.88359
Mauritania,3958701369,61.35060976,3796141,1042.822532
Mexico,1.18646E+12,77.13507317,120847477,9817.837489
Morocco,95981572517,70.64312195,32521143,2951.359136
Nepal,19206800719,67.98270732,27474377,699.0804821
Netherlands,7.70067E+11,81.10487805,16754962,45960.51718
New Zealand,1.71467E+11,81.15609756,4433000,38679.69061
Nicaragua,10644973606,74.46539024,5991733,1776.61014
Niger,6773185511,57.96617073,17157042,394.7758309
Nigeria,4.59616E+11,52.10902439,168833776,2722.298481
Norway,5.0003E+11,81.45121951,5018573,99635.87453
Oman,78289467471,76.59104878,3314001,23623.85149
Pakistan,2.2488E+11,66.43587805,179160111,1255.191071
Panama,37956200000,77.36809756,3802281,9982.481568
Papua New Guinea,15653921367,62.29892683,7167010,2184.163461
Paraguay,24611040343,72.19373171,6687361,3680.232059
Peru,1.92636E+11,74.51553659,29987800,6423.814308
Philippines,2.50182E+11,68.55373171,96706764,2587.016762
Portugal,2.1214E+11,80.37317073,10514844,20175.31131
Puerto Rico,1.01496E+11,78.53553659,3651545,27795.30617
Rwanda,7133378888,63.49285366,11457801,622.5783541
Senegal,14045680427,63.20217073,13726021,1023.288572
Sierra Leone,3787392596,45.32904878,5978727,633.4780959
Singapore,2.86908E+11,82.14390244,5312400,54007.30365
South Africa,3.82338E+11,56.09831707,52274945,7313.974916
Spain,1.32248E+12,82.37804878,46761264,28281.56318
Sri Lanka,59393056426,74.06804878,20328000,2921.736345
St. Vincent and the Grenadines,694444444.4,72.40121951,109373,6349.322451
Sudan,63029562337,61.86395122,37195349,1694.554939
Suriname,5012121212,70.81139024,534541,9376.495371
Swaziland,4049589166,48.85063415,1230985,3289.714469
Sweden,5.23941E+11,81.70487805,9519374,55039.44517
Switzerland,6.31183E+11,82.69756098,7996861,78928.90422
Thailand,3.65966E+11,74.18797561,66785001,5479.76058
Togo,3915754216,56.15034146,6642928,589.462089
Trinidad and Tobago,23436342520,69.81714634,1337439,17523.29827
Tunisia,45238491581,75.1,10777500,4197.494
Turkey,7.88863E+11,74.86243902,73997128,10660.72864
Uganda,20032237910,58.64797561,36345860,551.1559751
United Kingdom,2.46177E+12,81.5,63695687,38648.90075
United States,1.62446E+13,78.74146341,313873685,51755.21484
Uruguay,50004354667,76.90782927,3395253,14727.72564
"Venezuela, RB",3.81286E+11,74.4875122,29954782,12728.72638
Zambia,20596424325,57.02258537,14075099,1463.323585
