Country Name,Country Code,CO2Emissions,ElectricConsumption,GDP,HealthExpenditure,HouseholExpenditure,Taxes,PublicExpense,MilitaryExpenditure
Afghanistan,AFG,0.290025232,,360.7056151,43.28317783,,27.39801737,50.60729157,3.66803326
Albania,ALB,1.359638594,1800.870627,3404.655032,206.6219318,3313.593414,,,1.602358623
Algeria,DZA,3.331511849,986.8650038,3146.718756,181.3532579,,63.55943502,24.47053632,3.519140652
Andorra,ADO,6.636720705,,,2957.731921,,,,
Angola,AGO,1.555965628,246.6606688,2576.64541,143.7824899,,62.13044613,26.06239051,4.248274996
Antigua and Barbuda,ATG,5.88515814,,11571.83586,735.7186301,,16.02775369,21.561625,
Argentina,ARG,4.47096499,2907.176618,,750.8801848,,,,0.938616401
Armenia,ARM,1.424235767,1676.060977,1997.038912,142.560562,1596.448281,25.69228346,22.99736235,4.277206072
Australia,AUS,16.93373124,10740.38435,36257.89185,5138.113823,20837.58293,69.99749215,26.88299679,1.95857821
Austria,AUT,7.973648029,8321.085283,38803.23579,5272.032851,21285.72846,45.12177782,40.00836301,0.852137477
Azerbaijan,AZE,5.050748857,1603.431374,3126.724059,310.2866496,952.5651972,39.2519563,20.87248322,2.79053338
"Bahamas, The",BHS,6.835610738,,21013.89909,1626.225609,12723.82408,,17.70692945,
Bahrain,BHR,19.33835286,9895.222822,16722.24126,747.331311,,,19.46753274,3.020210587
Bangladesh,BGD,0.371563901,247.436774,539.0999313,24.36645107,385.1187098,25.98191627,10.64372056,1.416917138
Barbados,BRB,5.361952382,,14383.67817,978.2038948,,34.06505269,35.0986275,
Belarus,BLR,6.556549631,3563.856691,4524.666831,323.1547353,2516.495445,12.70671526,31.30754144,1.390475577
Belgium,BEL,9.999147361,8387.616784,36742.01341,4570.03142,19425.48058,57.85568379,43.93034238,1.113172542
Belize,BLZ,1.366532186,,4139.620518,264.6569329,2835.51174,36.41877381,25.26572001,1.098075685
Benin,BEN,0.545627257,,550.0445443,30.47805207,407.6809164,19.55172587,14.13111387,
Bhutan,BTN,0.664924073,,1795.464672,90.21146126,709.6397606,,,
Bolivia,BOL,1.521808822,592.5210609,1176.974475,105.8240308,768.6110137,,,1.668170825
Bosnia and Herzegovina,BIH,8.093102083,3040.357739,3328.992402,427.4578614,,12.52396815,40.09915708,1.311912162
Botswana,BWA,2.657137083,1616.784498,6152.726373,393.8799413,3482.578265,45.65862423,30.81072155,2.559161653
Brazil,BRA,2.150268044,2380.511415,5618.3246,988.9289806,3587.335303,43.70003053,26.68873724,1.586675101
Brunei Darussalam,BRN,22.86788543,8547.840697,24589.27724,844.0706144,6150.02319,,,3.15995384
Bulgaria,BGR,6.041258862,4560.414917,4460.996404,480.1895778,3063.877051,24.93327622,30.85245285,1.872041881
Burkina Faso,BFA,0.108309024,,457.2288132,41.43219742,273.5919665,23.61135317,11.6190281,1.348147168
Burundi,BDI,0.03336253,,150.7423534,19.4139838,122.8964707,,,
Cabo Verde,CPV,0.729487839,,3143.765362,145.3308875,,30.12343436,19.72020595,0.497948605
Cambodia,KHM,0.291012884,143.7528659,605.1680468,45.54847307,512.4061627,17.00715542,10.63276755,1.585615189
Cameroon,CMR,0.350798617,257.8991244,931.415347,57.31504403,679.9038971,,,1.570857034
Canada,CAN,14.67823409,16211.39709,35403.07726,5272.991706,21439.62233,76.72457688,19.26938683,1.348509917
Central African Republic,CAF,0.060696275,,435.7329213,17.66498038,,15.4885718,17.6074631,2.59742643
Chad,TCD,0.040046478,,718.8233934,29.28070849,,,,2.121808307
Chile,CHL,4.213121459,3289.94167,8610.022043,894.4061625,5565.643583,33.58885898,20.59593205,2.163810255
China,CHN,6.194857575,2943.690874,2869.093824,215.824467,1023.58553,25.41983339,,2.082125402
Colombia,COL,1.629451505,1009.090404,3937.867201,417.5994817,2586.125717,31.09117856,25.36410454,3.631148564
"Congo, Dem. Rep.",ZAR,0.048880628,100.946821,151.7699889,14.80368649,123.9929486,29.37974126,13.7379361,1.39801461
"Congo, Rep.",COG,0.493188609,145.9245108,1909.827612,66.96041848,772.0359191,,,1.112585734
Costa Rica,CRI,1.664003675,1850.87431,5357.490371,750.3131956,3597.891576,29.16699114,26.57351937,
Cote d'Ivoire,CIV,0.305895928,224.6979278,959.9918004,82.92619355,,23.98642487,16.17938685,1.691311743
Croatia,HRV,4.727141337,3813.662909,10475.6432,1050.689577,6160.404848,12.10474684,37.85712461,1.725410507
Cuba,CUB,3.400544489,1296.693922,4913.847513,583.371882,2576.078841,,,3.326689282
Cyprus,CYP,6.983907546,4622.695787,23156.5376,2011.790843,15882.3735,39.82114793,42.42599485,2.066991125
Czech Republic,CZE,10.66903291,6348.424398,14174.04652,1404.022658,6930.911018,34.06576193,35.47965116,1.258441312
Denmark,DNK,8.346404977,6327.326201,46292.73656,6265.972596,23367.49034,47.03794935,42.02991845,1.439049209
Dominica,DMA,1.906487557,,6455.222012,399.9865982,,19.03019213,24.86660171,
Dominican Republic,DOM,2.092908442,830.5050008,4776.842102,278.0395345,4159.763746,22.15783577,14.8161836,0.696094588
Ecuador,ECU,2.175597851,1122.986411,3250.745887,335.3448103,2265.333103,,,3.101592806
"Egypt, Arab Rep.",EGY,2.622791315,1670.647739,1550.240558,125.7511901,1098.913993,44.93866335,28.86025195,1.998508205
El Salvador,SLV,1.004884536,852.4981928,2949.613729,238.0962336,2660.045428,35.76962633,20.79716878,1.055172446
Eritrea,ERI,0.089420969,47.37719335,184.0458298,11.61572771,143.6374224,,,
Estonia,EST,13.71743984,6479.979235,10392.90853,894.3863761,5641.231635,16.70349669,34.66742029,1.732640383
Ethiopia,ETH,0.07456497,51.46088225,234.2588969,14.24891294,191.1696595,26.51964395,12.73644039,1.154932788
Fiji,FJI,1.499936669,,3523.368091,154.2907934,,,,1.564646742
Finland,FIN,11.53084023,16482.78912,38064.65332,3977.57808,20732.0906,28.50175632,40.24249681,1.436292831
France,FRA,5.555374121,7735.190636,33898.26965,4633.601725,19972.76642,44.31488715,49.79377504,2.408608369
Gabon,GAB,1.654156027,974.1540731,6223.145276,322.4293818,2189.071803,,,0.862908838
"Gambia, The",GMB,0.281465989,,466.6529302,26.64964786,409.1209512,,,
Georgia,GEO,1.401642562,1742.948257,1850.82085,266.5583714,,36.90880585,26.35300588,3.904863214
Germany,DEU,9.114841508,7162.203326,36127.0477,4667.722335,20539.7985,38.02535023,32.11302605,1.399799599
Ghana,GHA,0.370887966,299.0573963,610.1836568,70.46259182,,35.60781214,20.15750433,0.388774621
Greece,GRC,7.668998511,5245.632501,21308.96209,2442.042183,15411.22239,35.06952257,50.23328725,2.777834074
Grenada,GRD,2.487241705,,6426.474527,438.1107135,,18.77404463,19.30779586,
Guatemala,GTM,0.775252594,569.1843072,2270.096139,197.5499295,1976.404988,29.68769666,12.65203377,0.410695619
Honduras,HND,1.063839388,668.923178,1515.003321,175.6398761,1171.309373,30.67070784,22.74800692,1.074557447
"Hong Kong SAR, China",HKG,5.166229891,5960.536431,31336.08127,,18551.84008,58.87790234,17.399311,
Hungary,HUN,5.058248166,3876.491084,10926.46895,1026.02686,5675.786177,33.56637512,44.76377127,1.059460118
Iceland,ISL,6.168528586,51439.90869,51528.35714,3730.433901,26185.15867,39.53393111,39.70902005,0.158275199
India,IND,1.666209247,641.2717269,1031.561109,52.17973479,598.6392816,55.20633688,16.18778756,2.70807921
Indonesia,IDN,1.803206699,634.4658058,1570.152937,85.98546452,958.1743409,,,0.657561252
Ireland,IRL,8.771551844,5913.176197,44583.34411,4319.638007,21767.26974,47.5330654,62.14905218,0.60848819
Israel,ISR,9.268030327,6949.997377,22169.40354,2164.555852,11883.59504,40.96593545,39.24560491,6.147439377
Italy,ITA,6.717667455,5384.189394,29163.14605,3204.589115,17704.27244,55.08180579,42.15755314,1.752770942
Jamaica,JAM,2.66014574,1227.133399,,254.9820275,,38.19521205,35.74879646,0.873467293
Japan,JPN,9.185650865,8377.647349,36472.84768,4115.430224,21387.35259,49.92978691,18.07106532,0.978887377
Jordan,JOR,3.443801852,2216.341383,2816.852195,360.5261051,2284.520492,20.91831609,25.29898254,5.074080685
Kazakhstan,KAZ,15.23926775,4728.095887,4732.710579,397.6762654,2550.777076,,,1.013040397
Kenya,KEN,0.303781663,154.512944,574.853317,34.50403029,444.1730646,44.01936223,22.41440385,1.931943927
Kiribati,KIR,0.637784803,,1132.373353,162.3612686,,49.00470495,57.95103702,
"Korea, Rep.",KOR,11.4868054,9744.392503,20624.94705,1497.58547,10701.86472,42.04972312,19.87073413,2.716839847
Kuwait,KWT,31.31974308,16759.03703,28615.94755,1116.456835,,,38.14170827,3.616610221
Kyrgyz Republic,KGZ,1.174565429,1339.415188,560.9146224,59.83556788,467.1446057,31.35510458,21.14294595,4.206575054
Lao PDR,LAO,0.292983284,,628.8313487,29.38286512,431.1628574,21.13238428,10.95834687,0.225932036
Latvia,LVA,3.631065216,3229.951062,7390.815774,742.3854059,4786.828208,16.46061061,35.625119,1.083548244
Lebanon,LBN,4.700012808,3475.623184,6908.787909,619.5350604,5562.381099,20.99757214,26.7618716,4.270526222
Lesotho,LSO,0.00912679,,879.2244105,118.1271296,943.6919227,,,3.204260758
Liberia,LBR,0.201972718,,242.6119329,42.68803243,326.9654143,31.3384713,20.97110286,0.65436775
Lithuania,LTU,4.378214835,3470.78503,8829.322744,782.0235752,5494.941854,14.79688303,37.46893181,1.128661862
Luxembourg,LUX,21.36026614,16833.90768,80276.01129,7592.016473,28217.51619,48.97165499,39.57407907,0.636090233
"Macao SAR, China",MAC,1.92737914,,38688.87327,,9224.811702,4.134070208,14.64318637,
"Macedonia, FYR",MKD,5.171997074,3520.570674,3396.497227,309.421138,2593.473069,130.5397747,30.30672789,1.392268942
Madagascar,MDG,0.09550416,,275.3637983,18.591861,,27.53331499,8.915448512,0.644323775
Malawi,MWI,0.082554367,,219.1507634,30.41640595,179.0735374,,,
Malaysia,MYS,7.667467327,4135.580788,6318.901213,345.1183189,3085.284617,66.46005104,18.78316686,1.557077585
Maldives,MDV,3.298897124,,4663.377653,379.2109278,,6.935962608,30.85346543,
Mali,MLI,0.044572554,,498.4751481,46.18967038,427.4821101,29.99948672,14.48530616,1.55786856
Malta,MLT,6.24572264,4171.210206,16049.80603,1706.794466,10108.05357,46.25492784,43.13056464,0.719421776
Mauritania,MRT,0.613635432,,785.4901217,58.09649853,910.1708213,,,
Mauritius,MUS,3.214898776,,6109.775156,427.3895485,4169.692635,25.18990702,22.66491294,0.153088681
Mexico,MEX,3.763572235,1915.793445,8117.351537,603.3524236,5441.587438,,,0.56330372
"Micronesia, Fed. Sts.",FSM,0.990899352,,2378.119222,393.0537223,,,,
Moldova,MDA,1.363011416,1722.886713,982.9831829,190.424715,899.0116833,1.648330645,34.97758115,0.31578007
Mongolia,MNG,4.243208522,1554.517981,1273.154064,143.2100831,890.0822991,42.56891411,26.55919804,0.88469855
Morocco,MAR,1.599383453,783.3486504,2348.586032,168.0696917,1336.340249,35.00127157,30.35987103,3.48218855
Mozambique,MOZ,0.120258277,445.065384,380.844244,22.132912,302.8743533,33.15558964,24.14196192,0.889315904
Namibia,NAM,1.457397932,1473.634066,4085.714168,415.8094081,2776.339897,35.28389098,29.13897502,3.583242816
Nepal,NPL,0.139872076,103.4417919,376.3422096,35.6553184,290.7525594,21.16672162,15.63520088,1.563665875
Netherlands,NLD,10.95836494,7009.523819,41110.2784,5676.30127,18919.04345,47.18196457,45.4879011,1.443789846
New Zealand,NZL,7.223514813,9564.769449,27388.00497,3259.986278,16681.88403,60.53407044,46.85234648,1.118962599
Nicaragua,NIC,0.780988797,470.4399997,1252.236981,112.4237621,905.5962971,32.63827054,15.29345462,0.515866091
Niger,NER,0.088827077,,275.6830274,24.27510807,,,,0.826187751
Nigeria,NGA,0.494090977,135.3972862,995.6802014,79.95430492,,93.55479615,6.012871195,0.543025398
Norway,NOR,11.69644457,24890.92401,64589.97466,8694.290529,30992.66052,55.07290313,35.30448467,1.543824427
Oman,OMN,20.40894323,5889.534917,14962.02899,582.3004707,,47.55757153,23.88960625,8.322425443
Pakistan,PAK,0.932118498,457.807206,748.0104878,29.9751517,535.7303796,36.14183242,17.50035448,3.242080646
Panama,PAN,2.619052137,1732.131128,6286.57427,627.0761133,3419.026382,,,
Papua New Guinea,PNG,0.457108929,,955.4244327,56.75092098,,,,0.488822067
Paraguay,PRY,0.785657461,1133.02107,1725.794782,271.3923789,1097.011747,18.2988173,16.09899478,1.078641211
Peru,PER,1.967657742,1098.424178,3834.752386,256.5180595,2450.40579,40.02612054,16.71265863,1.244657344
Philippines,PHL,0.87314829,641.4728976,1403.306336,90.34523036,988.7713339,44.73315332,16.87756295,1.22159432
Poland,POL,8.308632041,3783.081899,10035.85059,859.9089764,6191.447767,24.52944235,36.24158743,1.868930872
Portugal,PRT,4.952293367,4959.094305,18647.75743,2323.681712,12433.42439,38.82199512,45.32822321,2.124268553
Qatar,QAT,40.310084,15075.04374,58256.96679,1496.323315,,93.97867444,18.72271756,1.499851793
Romania,ROM,3.889250739,2550.863291,5634.894022,457.2307647,4716.946545,32.05299958,40.44501418,1.266008177
Russian Federation,RUS,12.22549662,6430.623152,6385.660651,668.8936293,3790.37819,4.423665701,27.37313609,4.267031414
Rwanda,RWA,0.054818556,,352.4119522,56.03231709,331.6884462,38.59563343,15.67818701,1.326290932
Samoa,WSM,0.867327137,,2286.273493,201.4022148,,22.18190333,0.029753309,
Sao Tome and Principe,STP,0.555518774,,812.6392575,85.96476593,,25.98260604,20.6160246,
Saudi Arabia,SAU,17.03991344,8022.448284,15994.78056,663.4818739,,,,8.588372918
Senegal,SEN,0.545070856,187.7138324,800.4311031,47.78689177,639.3985187,27.30859932,15.53642216,1.543105821
Serbia,SRB,6.303583821,4358.812174,3823.55644,546.0264001,2821.20813,15.97801804,41.23846461,2.352830138
Seychelles,SYC,7.842976495,,12681.28458,394.043061,,31.91130156,30.62862251,0.738120397
Sierra Leone,SLE,0.119853769,,370.4381369,69.09250171,335.9828066,31.95261356,20.24086713,0.952844281
Singapore,SGP,2.663192428,8437.961668,33900.4348,1892.98321,12020.19475,44.5996015,12.84731762,3.499923399
Slovak Republic,SVK,6.694753412,5201.404897,14263.37562,1446.494775,7799.148933,24.21454781,36.53158427,1.297467262
Slovenia,SVN,7.482274333,6521.092872,19054.25748,2043.913569,10615.61625,22.25752007,42.68121213,1.646158502
Solomon Islands,SLB,0.383105992,,1055.860122,94.87083502,,,,
South Africa,ZAF,9.040531461,4571.270444,5691.274892,614.7455337,3676.15083,55.21257709,32.84304384,1.153019178
Spain,ESP,5.78988435,5706.563063,25317.96221,2902.052121,14474.44914,52.48478659,31.08251564,1.06463151
Sri Lanka,LKA,0.615398344,449.232557,1610.084837,81.95917211,1069.881782,18.71309492,19.28393906,3.087023367
St. Kitts and Nevis,KNA,4.763065403,,10483.38741,739.0879055,,26.99708455,29.06257949,
St. Lucia,LCA,2.273826502,,6015.695165,525.4596698,,28.75547539,22.15751008,
St. Vincent and the Grenadines,VCT,1.912062278,,5414.513236,293.423368,,25.81257414,25.97349244,
Sudan,SDN,0.310858607,132.6740762,785.6977297,118.6213845,,,,
Suriname,SUR,4.540441176,,4169.590708,483.0634112,,38.4680589,20.86156081,
Swaziland,SWZ,0.857473675,,2445.080282,261.2031393,2259.541805,,,3.356400104
Sweden,SWE,5.599744235,14934.32696,42825.66638,4694.120656,21062.19471,17.06685751,32.7196062,1.271089317
Switzerland,CHE,4.952967888,8174.663756,54642.6648,7696.517861,32012.10811,38.40898535,17.53404657,0.749478927
Syrian Arab Republic,SYR,2.872783035,1809.206272,,96.58501045,,,,3.945538304
Tajikistan,TJK,0.375001672,1807.710854,417.1060527,44.25173039,311.1696068,,,
Tanzania,TZA,0.152229977,91.47643726,451.5468171,36.65099006,283.0589413,30.78358541,24.02851129,1.093099949
Thailand,THA,4.446855558,2335.295052,3163.903845,182.9378371,1701.907833,42.31004555,18.62329892,1.51951232
